"English","What is a period for","to end a sentence","2026-04-25T12:51:43.178660500","LEARNING","2026-05-02T14:07:18.811565700"
"CS 151","SOLID","Five object-oriented design guidelines that make software more understandable, flexible, and maintainable","2026-04-25T12:01:10.502556200","NEW",""
"Math","Eigen Vectors","A nonzero vector whose direction remains unchanged (or is exactly reversed) when a linear transformation (matrix multiplication) is applied to it","2026-04-25T11:58:11.828228","NEW","2026-05-02T15:55:30.357511"
"Math","Matrix","A set of numbers arranged in rows and columns so as to form a rectangular array.","2026-04-25T11:53:18.243065100","NEW",""
"CS151","What does MVC stand for?","Model View Controller","2026-04-07T19:13:18.550790200","NEW",""
"Math","What is the slope formula","y=mx+b","2026-05-02T15:56:57.900490600","NEW",""
"CS 151","What is polymorphism","Assigning a childs object to a parents reference","2026-05-02T15:58:05.461245","NEW",""
"Math","4+4","8","2026-05-02T15:59:04.860348","MASTERED",""
"Math","10^2","100","2026-05-02T15:59:24.233724500","LEARNING",""
"CS 151","Open-Closed principle","Open to extension, closed to modification","2026-05-02T16:00:19.502743800","NEW",""
